id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
146085767,2023-01-07 14:50:47,2023-01-07,2023-01-07 20:50:47 UTC,America/Costa_Rica,4870037,vanessa_braziliensis,,2023-01-08 02:01:22 UTC,2023-01-09 08:20:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/146085767,https://inaturalist-open-data.s3.amazonaws.com/photos/251078190/medium.jpeg,,,Feces ,2,0,false,2,"Limón, CR",10.5149803428,-83.5801094301,195,,,,31189,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
146417723,2023-01-10 11:16:34,2023-01-10,2023-01-10 17:16:34 UTC,America/Costa_Rica,5300601,taylormiltenb,Taylor Miltenberger,2023-01-12 19:32:59 UTC,2023-05-06 10:24:58 UTC,research,,https://www.inaturalist.org/observations/146417723,https://static.inaturalist.org/photos/251723014/medium.jpeg,,,,3,0,false,2,Costa Rica,10.4320099233,-83.7382869725,210,,,,31189,,obscured,true,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
146437814,2023/01/05 9:16 AM,2023-01-05,2023-01-05 12:16:00 UTC,Montevideo,5749642,batitu,Adrian Antunez,2023-01-13 01:27:36 UTC,2023-05-06 10:24:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/146437814,https://inaturalist-open-data.s3.amazonaws.com/photos/251758196/medium.jpg,,,,8,0,false,,"Rocha, UY",-33.8867595854,-53.9687638626,15625,,,,28902,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
146481772,2023-01-13 10:27:42,2023-01-13,2023-01-13 15:27:42 UTC,Bogota,6388333,pablo_gamboa,Juan Pablo Diaz Gamboa,2023-01-13 19:34:23 UTC,2023-05-06 10:24:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/146481772,https://inaturalist-open-data.s3.amazonaws.com/photos/251847729/medium.jpeg,,,,4,0,false,2,Colombia,4.2535444775,-74.6131793608,23,,,,31407,obscured,obscured,true,gps,gps,Nutria de río,Lontra longicaudis,Nutria de río,Mammalia,41778
146501483,2023-01-13 19:17:34,2023-01-13,2023-01-14 01:17:34 UTC,America/Costa_Rica,5682024,antho2005,Anthony Ramírez Murillo,2023-01-14 01:22:33 UTC,2023-05-06 10:24:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/146501483,https://inaturalist-open-data.s3.amazonaws.com/photos/251885179/medium.jpeg,,,,4,0,false,2,Costa Rica,10.461421563,-83.9011792448,241,,,,31189,,obscured,true,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
146574254,2023-01-14 11:15:26,2023-01-14,2023-01-14 14:15:26 UTC,Brasilia,1546210,cnmodesto,Celso Modesto Jr.,2023-01-15 00:58:37 UTC,2023-05-06 10:24:02 UTC,research,,https://www.inaturalist.org/observations/146574254,https://static.inaturalist.org/photos/252025878/medium.jpeg,,,,5,0,false,2,"Minas Gerais, BR",-22.0339603961,-46.3363506588,,,,,30318,,obscured,true,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
146802347,2023-01-17 22:23:02-05:00,2023-01-17,2023-01-18 03:23:02 UTC,America/Costa_Rica,3192801,camchev,Cameron Chevalier,2023-01-18 03:24:59 UTC,2023-01-18 18:05:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/146802347,https://inaturalist-open-data.s3.amazonaws.com/photos/252477714/medium.jpg,,,Photos show dive,1,0,false,3,Costa Rica,10.5661454877,-84.0718364181,134,,,,31189,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
146988570,2023-01-20 17:46:27,2023-01-20,2023-01-20 22:46:27 UTC,Bogota,2784688,martin_suanjak,Martin Suanjak,2023-01-20 23:33:31 UTC,2024-04-21 12:52:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/146988570,https://inaturalist-open-data.s3.amazonaws.com/photos/252841569/medium.jpeg,,,,5,0,false,2,"San José del Guaviare, CO-GV, CO",2.4612752872,-72.6344702982,611,,,,31436,,obscured,true,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
147246839,2023-01-23 11:43:59,2023-01-23,2023-01-23 17:43:59 UTC,Mexico City,756724,jcarlocuevas,J. Carlo Cuevas,2023-01-24 05:50:23 UTC,2023-02-10 16:42:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/147246839,https://inaturalist-open-data.s3.amazonaws.com/photos/253339400/medium.jpeg,,,,2,0,false,2,"Tuxcacuesco, Jal., México",19.6908914625,-104.1383599117,49,,,,49,,open,false,gps,gps,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
147328040,2023-01-25 07:22:58-06:00,2023-01-25,2023-01-25 13:22:58 UTC,America/Costa_Rica,1482615,frankchaves,Frank Chaves,2023-01-25 14:30:03 UTC,2023-05-06 10:23:39 UTC,research,,https://www.inaturalist.org/observations/147328040,https://static.inaturalist.org/photos/253495142/medium.jpg,,,,4,0,false,3,"Golfito, CR-PU, CR",8.5030250132,-83.3789696255,3,,,,31279,,obscured,true,,,Neotropical River Otter,Lontra longicaudis,Nutria de río,Mammalia,41778
